Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
pgm,0,1,INS_24,0,1,D6Mit1_B,6,6.68,1.01042260317961,0.167604046818543,6.0286289165413,0,0
D1Mit76_B,1,33.31,INS_24,0,2,D19Mit25_B,19,45.05,0.816576915003997,0.141956073278986,5.75232109583068,0,0
D1Mit411_B,1,12.62,INS_24,0,3,D19Mit25_B,19,45.05,0.765126657471417,0.143007176395109,5.35026756529671,0,0
D1Mit123_B,1,17.67,INS_24,0,4,D19Mit25_B,19,45.05,0.76642513581613,0.143396026270135,5.34481432820397,0,0
pgm,0,2,BW_24,0,5,D6Mit1_B,6,6.68,0.995175250152308,0.186952501254637,5.32314488158058,0,0
D1Mit213_B,1,22.88,INS_24,0,6,D19Mit25_B,19,45.05,0.735933801031604,0.144492452714579,5.09323350255061,0,0
pgm,0,3,log_GLU_24,0,7,D6Mit1_B,6,6.68,0.983645080691634,0.193590511369516,5.08106039770772,0,0
D1Mit211_B,1,10.59,INS_24,0,8,D19Mit25_B,19,45.05,0.726965014124784,0.143541302748557,5.06450060160188,0,0
D1Mit76_B,1,33.31,BW_24,0,9,D19Mit25_B,19,45.05,0.802047805702941,0.160303794413216,5.00329894647096,0,0
D1Mit411_B,1,12.62,BW_24,0,10,D19Mit25_B,19,45.05,0.79641144956999,0.16123456622897,4.93945850568421,0,0
D1Mit211_B,1,10.59,BW_24,0,11,D11Mit19_B,11,15.38,0.815209278177545,0.168928350455153,4.82576948144631,0,0
D1Mit123_B,1,17.67,BW_24,0,12,D19Mit25_B,19,45.05,0.775198332771418,0.161624825542121,4.79628256470658,0,0
D1Mit76_B,1,33.31,log_GLU_24,0,13,D19Mit25_B,19,45.05,0.798370343841393,0.166551449336298,4.79353585347274,0,0
D1Mit46_B,1,39.16,INS_24,0,14,D19Mit25_B,19,45.05,0.688930575598699,0.147128988783721,4.68249378517393,0,0
D1Mit213_B,1,22.88,BW_24,0,15,D19Mit25_B,19,45.05,0.724845403431172,0.162626771780659,4.45710995486523,0,0
D12Mit231_B,12,50.87,BW_24,0,16,D14Mit195_B,14,44.17,0.779522678925048,0.177521905874558,4.39113513954656,0,0
D12Mit101_B,12,51.55,BW_24,0,17,D14Mit195_B,14,44.17,0.779522678925048,0.177521905874558,4.39113513954656,0,0
D1Mit123_B,1,17.67,log_GLU_24,0,18,D19Mit25_B,19,45.05,0.714468401348246,0.16783908828109,4.25686536232659,0,0
D1Mit46_B,1,39.16,BW_24,0,19,D19Mit25_B,19,45.05,0.701244844567945,0.165194190416386,4.24497279716918,0,0
D1Mit213_B,1,22.88,log_GLU_24,0,20,D19Mit25_B,19,45.05,0.716404298025535,0.168814224617071,4.24374367533653,0,0
D1Mit296_B,1,2.08,INS_24,0,21,D19Mit25_B,19,45.05,0.614231868113355,0.147043196180265,4.17722059958727,0,0
D1Mit411_B,1,12.62,log_GLU_24,0,22,D3Mit203_B,3,10.82,0.728469993508261,0.17615951813692,4.13528602492008,0,0
D15Mit159_B,15,41.96,INS_24,0,23,D10Mit1_B,10,4.25,0.636568874728972,0.155465050168274,4.09461080828106,9.98003992015439e-05,0.0039766915305644
D12Mit132_B,12,57.68,BW_24,0,24,D14Mit195_B,14,44.17,0.707764010027222,0.178800317435187,3.95840466157885,0,0
D12Mit231_B,12,50.87,INS_24,0,25,D14Mit195_B,14,44.17,0.627493340393608,0.159430313116004,3.93584713050795,9.98003992015439e-05,0.0039766915305644
D12Mit101_B,12,51.55,INS_24,0,26,D14Mit195_B,14,44.17,0.627493340393608,0.159430313116004,3.93584713050795,9.98003992015439e-05,0.0039766915305644
D1Mit296_B,1,2.08,BW_24,0,27,D17Mit73_B,17,50.3,0.728581611447066,0.185472620686043,3.92824347201286,0,0
D3Mit78_B,3,48.81,log_GLU_24,0,28,D10Mit67_B,10,45.35,0.697145402509099,0.181136518901874,3.84872916149371,0,0
D15Mit217_B,15,47.22,INS_24,0,29,D10Mit1_B,10,4.25,0.600483587499736,0.156466667512603,3.83777322701251,9.98003992015439e-05,0.0039766915305644
D15Mit159_B,15,41.96,log_GLU_24,0,30,D10Mit1_B,10,4.25,0.68903740257946,0.180118283665482,3.82547173200445,0,0
D1Mit211_B,1,10.59,log_GLU_24,0,31,D19Mit25_B,19,45.05,0.635609158718569,0.167544186694504,3.7936807671968,9.98003992015439e-05,0.0039766915305644
D12Mit262_B,12,60.56,BW_24,0,32,D14Mit195_B,14,44.17,0.672080685025061,0.179295922480463,3.74844377790183,0,0
D15Mit72_B,15,39.98,INS_24,0,33,D10Mit1_B,10,4.25,0.581358075518884,0.156646820480989,3.71126636170339,9.98003992015439e-05,0.0039766915305644
D1Mit46_B,1,39.16,log_GLU_24,0,34,D19Mit25_B,19,45.05,0.635337389574266,0.17136713939412,3.70746335511314,9.98003992015439e-05,0.0039766915305644
D12Mit259_B,12,45.02,BW_24,0,35,D14Mit212_B,14,22.29,0.671944088069133,0.184968431244119,3.63275010524531,0,0
D13Mit53_B,13,63.73,BW_24,0,36,D14Mit195_B,14,44.17,0.664374380323465,0.183565776350815,3.61927148693431,0,0
D8Mit199_B,8,58.7,log_GLU_24,0,37,D9Mit183_B,9,52.51,-0.695631161680181,0.194026615693766,3.5852357636238,9.98003992015439e-05,0.0039766915305644
D11Mit41_B,11,54.34,BW_24,0,38,D19Mit25_B,19,45.05,0.583257153236452,0.165347593936738,3.52746078337013,9.98003992015439e-05,0.0039766915305644
D18Mit60_B,18,18.04,BW_24,0,39,D2Mit148_B,2,100.49,0.657339725017859,0.187562052133911,3.50465202070058,9.98003992015439e-05,0.0039766915305644
D1Mit296_B,1,2.08,log_GLU_24,0,40,D19Mit25_B,19,45.05,0.591018629335143,0.17026312816189,3.47120739361249,0.000199600798403199,0.00745272045836405
D12Mit259_B,12,45.02,INS_24,0,41,D14Mit195_B,14,44.17,0.556255785086145,0.160718309356071,3.46106045611618,0.000299401197604743,0.00924935842600367
D15Mit13_B,15,1.84,INS_24,0,42,D9Mit128_B,9,20.69,0.570216361554873,0.165055550607757,3.45469364377786,0.000299401197604743,0.00924935842600367
D15Mit217_B,15,47.22,BW_24,0,43,D10Mit1_B,10,4.25,0.601676658334468,0.174689516169212,3.44426312195895,9.98003992015439e-05,0.0039766915305644
D12Mit132_B,12,57.68,INS_24,0,44,D14Mit195_B,14,44.17,0.552860406055738,0.160903433604553,3.43597643425363,0.000299401197604743,0.00924935842600367
D13Mit53_B,13,63.73,INS_24,0,45,D13Mit54_B,13,28.71,0.613453245472841,0.180835242894531,3.39233235542823,0.000299401197604743,0.00924935842600367
D10Mit67_B,10,45.35,log_GLU_24,0,46,D3Mit78_B,3,48.81,0.618063528452451,0.182924843063153,3.37878397544433,0.000598802395209597,0.0165969796055424
D15Mit180_B,15,15.74,log_GLU_24,0,47,pgm,0,1,0.592127637329267,0.175948365020292,3.36534890370239,0.000598802395209597,0.0165969796055424
D12Mit150_B,12,62.59,BW_24,0,48,D14Mit195_B,14,44.17,0.605928447327016,0.180097494588946,3.36444684424947,9.98003992015439e-05,0.0039766915305644
D15Mit26_B,15,21.96,log_GLU_24,0,49,D16Mit58_B,16,22.55,0.660811318036451,0.196511365306307,3.36271297594635,0.000598802395209597,0.0165969796055424
D9Mit207_B,9,32.76,BW_24,0,50,D8Mit199_B,8,58.7,-0.654276149268617,0.194773618107215,3.35916206530837,9.98003992015439e-05,0.0039766915305644
D15Mit159_B,15,41.96,BW_24,0,51,D10Mit1_B,10,4.25,0.582399036159725,0.1738277057934,3.35043849023657,9.98003992015439e-05,0.0039766915305644
D10Mit268_B,10,70.15,log_GLU_24,0,52,D17Mit240_B,17,40.77,0.634876745504381,0.189709411790905,3.34657484576534,0.000598802395209597,0.0165969796055424
